Feature,Opinions,Spelling Correction,Mapped_Opinion
"('gb', 'ram')",more,,good
"('gb', 'ram')",extra,,better
"(gb,ram)",not enough,,bad
amazon,nt buy,not buy,not recommended
amazon,outdated,,old-fashioned
amazon,not working,,useless
amazon,normal,,ok
amazon,just buy,,recommended
amazon,fast,,good
amazon,much faster,,better
amd ryzen,tremendous,,fantastic
backup,nt work,not work,useless
battery,very slow,,poor
battery,fast,,good
battery,not working,,useless
battery,average,,average
battery,longer,,better
battery,average,,ok
battery,available,,ok
battery,okay,,ok
battery,basic,,ok
battery,very short,,poor
battery,laggy,,poor
battery,smooth,,good
battery,just buy,,recommended
battery backup,also commendable,,also admirable
battery backup,medium,,okay
battery backup,normal,,okay
battery life,very slow,,poor
battery life,average,,okay
battery life,average,,okay
battery life,average,,okay
battery life,very short,,poor
battery life,very slow,,poor
battery life,average,,okay
battery life,normal,,okay
boot time,drastically reduced,,very good
boot time,drastically reduced,,very good
boot time,too late,,very bad
boot time,long,,poor
display,decent,,good
"gb,ram",about enough,,bad
"gb,ram",not enough,,bad
"gb,ram",enough,,good
"gb,ram",as usual,,okay
"gb,ram",just buy,,recommended
laptop,nt perform,not perform,poor
laptop,normal,,okay
laptop,not working,,useless
laptop,genuine,,positive
life hour,not precise,,bad
life hour,normal,,ok
mhz ram,higher,,better
ms office,normal,,okay
ms office,not working,,useless
ryzen processor,much faster,,very good
ryzen processor,much faster,,very good
screen,so average,,poor
screen,spectacular,,amazing
screen,regular,,okay
screen,stylish,,beautiful
screen,blank,,bad
screen,blank,,bad
speed,fast,,very good
speed,not working,,useless
speed,very slow,,very bad
speed,not buy,,not recommended
speed,just go,,recommended
speed,very slow,,very bad
speed,smooth,,very good
speed,so average,,poor
value money,genuine,,positive
